ca,first_seen_ts,token_name,token_symbol,final_score,conviction_type,smart_money_detected,price_t0,price_t1m,price_t5m,price_t15m,price_t1h,price_t24h,peak_price_usd,last_price_usd,max_gain_percent,price_change_1h,price_change_24h,outcome_label,is_rug,first_market_cap_usd,peak_market_cap_usd,last_market_cap_usd,first_liquidity_usd,last_liquidity_usd,last_volume_24h_usd,holder_count,snapshot_count,tx_count,wallet_count
F3hQ4u4AsNMSXkhWSRFcPkVbEZwGoSJurviLdbcxpump,2025-10-14 08:33:34,Quantify Trading,QUANT,8,High Confidence (Smart Money),True,4.0260033186059285e-05,3.151e-05,3.151e-05,3.151e-05,3.151e-05,,3.151e-05,3.151e-05,-21.733795264453807,0.0,-2.39,loser,False,40260.033186059285,,31509.0,23695.72,20876.55,,,1,1,1
3NVRZqJ43axJ7Jy8qtADxjFzgk8s2o5zaoLfQWRaAh7A,2025-10-14 07:15:03,HAIRDAO LABORATORY,LAB,9,High Confidence (Strict),False,3.5057156751671274e-05,3.345e-05,3.345e-05,3.345e-05,3.345e-05,,3.345e-05,3.001e-05,-4.5843898952092195,-10.284005979073246,21.21,loser,False,35057.156751671275,,30016.0,23898.07,22026.25,,,3,1,1
G85CQEBqwsoe3qkb5oXXpdZFh7uhYXhDRsQAM4aJuBLV,2025-10-14 06:56:08,Orgo,ORGO,10,High Confidence (Strict),False,0.008601369676491104,0.008229,0.008229,0.008229,0.008229,,0.008229,0.008205,-4.329190471941329,0.0,21.15,loser,False,8601344.549351757,,8205215.0,336772.32,327533.82,,,3,1,1
6dEWAwhKaxioDbgwLZXtL5DnXWza61Fh9ZbYsPnG8kp6,2025-10-14 06:53:58,energy coin,energy,10,High Confidence (Strict),False,6.855094863229227e-05,0.0001629,0.0001629,0.0001629,0.0001629,,0.0001629,0.0001005,137.63347298634287,6.102195945945948,24.09,winner_2x+,False,68550.94863229226,,100580.0,30616.63,38339.2,,,3,1,1
5N6mRdUQ7r93sTyFfztKRaUt7QFuLKkHgURxPSTfpump,2025-10-14 05:59:25,VAJ,VAJ,9,High Confidence (Strict),False,0.0005676351061675643,0.0005673,0.0005673,0.0005673,0.0005673,,0.0005673,0.0004698,-0.05903549021602673,2.509273401701932,2.42,loser,False,567632.5313532763,,469824.0,94616.57,85579.47,,,4,1,1
A1r1SooLp5GHZoAWmY3BErwByYoCrV2StAiCEa3epump,2025-10-14 05:39:32,BetBruh.bet,BRUH,10,High Confidence (Smart Money),True,0.00010734522250698766,0.00012,0.00012,0.00012,0.00012,,0.00012,9.181e-05,11.788859529532001,1.5822084531976155,7.54,winner,False,107345.22250698764,,91809.0,40044.56,36293.3,,,5,1,1
8ZeTmGGktvSwSSghx8btbTAVGdWogThKM4DQBJgRpump,2025-10-14 05:28:59,All Roads Lead To Rome,Rome,8,High Confidence (Smart Money),True,0.000941946725891763,0.0009238,0.0009238,0.0009238,0.0009238,,0.0009913,0.0009527,5.23949738893282,2.8389464594127856,198.0,winner,False,941905.0699260981,,952732.0,122720.13,121726.05,,,5,1,1
8ueUTtwJmWFnvUuDXNkNr2wwoDQAwx7H8E32gtq8Afj6,2025-10-14 04:58:32,索拉娜,索拉娜,10,High Confidence (Strict),False,0.00023845352886491333,0.0004544,0.0004544,0.0004544,0.0004544,,0.0004544,0.0001093,90.56123940083219,-38.42253521126761,31.87,winner,False,238453.52886491333,,109315.0,62769.17,41811.09,,,6,1,1
FPDGNocMUCWdKyQjxkvbSer7ZLtgTikt9f3fox2C68GY,2025-10-14 04:38:31,Suo,檢,10,High Confidence (Smart Money),True,3.092950195553871e-05,1.228e-05,1.228e-05,1.228e-05,1.228e-05,,1.228e-05,4.908e-06,-60.29680653231161,-9.043736100815408,-94.15,loser,False,30929.501955538704,,4908.0,24663.27,8255.74,,,6,1,1
7tH44RkuVr4WHby1JgGbYyfSnzpFsRUQfYyVChVXpump,2025-10-14 04:24:52,Chinese Solana ,索拉纳,10,High Confidence (Strict),False,0.00033524375321599916,9.052e-05,9.052e-05,9.052e-05,9.052e-05,,0.0003838,0.0003631,14.483863254184431,36.86392762909913,331.0,winner,False,335243.75321599917,,363177.0,76057.6,77987.84,,,6,1,1
HaWuoaSE8wzj3eRMbQEmjXWqvdHzQ6S8fC8J3WBKw9Xx,2025-10-14 04:17:26,penis coin,PENIS,10,High Confidence (Smart Money),True,3.4399352704433246e-05,3.248e-05,3.248e-05,3.248e-05,3.248e-05,,3.248e-05,5.905e-06,-5.579618665864859,-9.737083460715377,-93.0,loser,True,34399.352704433244,,5906.0,20281.34,9070.33,,,5,1,1
