token_address,alerted_at,final_score,smart_money_detected,first_alert_at,last_checked_at,first_price_usd,first_market_cap_usd,first_liquidity_usd,last_price_usd,last_market_cap_usd,last_liquidity_usd,last_volume_24h_usd,peak_price_usd,peak_market_cap_usd,peak_volume_24h_usd,peak_price_at,peak_market_cap_at,outcome,outcome_at,peak_drawdown_pct,peak_x_price,peak_x_mcap,time_to_peak_price_s,time_to_peak_mcap_s
EMg2QkFZ6pLvgckVGj8X6nmyrkiuoamYnTdoxXN8pump,2025-09-25 22:38:46,8,1,2025-09-25 22:38:46,2025-09-26 06:38:40,0.001049,1049581.0,134303.18,0.001407,1407493.0,156301.26,1277705.05,0.001407,1407493.0,1670939.88,2025-09-26 06:38:40,2025-09-26 06:38:40,,,,1.3412774070543374,1.3410046485216482,28794,28794
6ZVAjJzXGEF7pH6WzerwgEnsd97FuzgHvF6XvuKibonk,2025-09-25 22:40:53,10,1,2025-09-25 22:40:53,2025-09-26 06:38:41,2.642e-05,26425.85,0.0,6.995e-06,6995.93,0.0,179172.62,2.642e-05,26425.85,179172.62,2025-09-25 22:40:53,2025-09-25 22:40:53,rug,2025-09-26 00:36:50,55.14761544284633,1.0,1.0,0,0
HBukB9DLbdTM6nNHQQ6JvVmjx7UmuMpDJAU9oX8tpump,2025-09-25 22:43:00,10,1,2025-09-25 22:43:00,2025-09-26 06:38:42,0.0002521,252199.0,60877.87,0.0001323,132387.0,45140.64,1412102.74,0.0002521,252199.0,1412102.74,2025-09-25 22:43:00,2025-09-25 22:43:00,,,,1.0,1.0,0,0
8oRpiDdQhLTV2SmscjKp4SWdZ9as2C3kZdTj4qVvbonk,2025-09-25 22:49:24,8,1,2025-09-25 22:49:24,2025-09-26 06:38:43,0.0001219,121915.0,39472.48,3.945e-05,39452.0,22676.65,1126156.22,0.0001219,121915.0,1345341.23,2025-09-25 22:49:24,2025-09-25 22:49:24,,,,1.0,1.0,0,0
6jnGFtSVx4caXkNhumbRpzAuW72XMSZcU4wEHFxdbonk,2025-09-25 22:51:35,9,1,2025-09-25 22:51:35,2025-09-26 06:38:43,0.0003609,360881.0,64340.79,0.0003255,325525.0,61501.22,1496961.38,0.0003647,364695.0,1859647.41,2025-09-26 00:36:51,2025-09-26 00:36:51,,,,1.0105292324743695,1.0105685807787055,6316,6316
7UgmCpkZMMQBUajCfhrtiJXZ1wPuMidEB4DnA6aUpump,2025-09-25 22:53:45,10,1,2025-09-25 22:53:45,2025-09-26 06:38:44,5.568e-05,55683.22,0.0,1.14e-05,11410.0,12685.24,363831.15,5.568e-05,55683.22,363831.15,2025-09-25 22:53:45,2025-09-25 22:53:45,,,,1.0,1.0,0,0
5ThrLJDFpJqaFL36AvAX8ECZmz6n4vZvqMYvpHHkpump,2025-09-25 22:54:52,10,1,2025-09-25 22:54:52,2025-09-26 07:38:55,5.286e-05,52862.5,0.0,0.000185,185032.0,50792.67,334402.42,0.000185,185032.0,334402.42,2025-09-26 07:38:55,2025-09-26 07:38:55,,,,3.499810821036701,3.5002506502719317,31443,31443
q29umWshmh2fmm1CdRb4cBKhqtW9xX25ezNQi7Bpump,2025-09-25 22:59:10,8,1,2025-09-25 22:59:10,2025-09-26 07:38:56,0.0007092,709190.0,129007.74,0.0006876,687644.0,127273.91,182984.88,0.0007092,709190.0,228568.86,2025-09-25 22:59:10,2025-09-25 22:59:10,,,,1.0,1.0,0,0
7W4geAJyy7hxuPXESMMBaW8Zi4MbhVN9uvt6BJ2SEPAV,2025-09-25 23:02:23,8,1,2025-09-25 23:02:23,2025-09-26 07:38:58,0.004144,4118265.0,275858.72,0.007712,7664460.0,384262.53,7224840.34,0.007867,7818942.0,7591941.23,2025-09-26 05:38:25,2025-09-26 05:38:25,,,,1.8984073359073361,1.8986009885230795,23762,23762
9EnydDKQL2KeE4Eq9FcWuDMpaBs8q4iyt2MPayWSpump,2025-09-25 23:05:33,10,1,2025-09-25 23:05:33,2025-09-26 07:38:59,0.001009,953030.0,156407.72,0.0009033,852848.0,147684.1,1061165.49,0.001117,1055328.0,1411766.94,2025-09-26 00:36:52,2025-09-26 00:36:52,,,,1.1070366699702676,1.1073397479617642,5479,5479
2xsLr5Q3JXP7JG6FbHC7PafyqhwMzYtJ3YCVhaa8pump,2025-09-25 23:07:41,10,1,2025-09-25 23:07:41,2025-09-26 07:38:59,4.136e-05,41360.32,0.0,4.744e-05,47441.24,0.0,353587.76,4.888e-05,48885.74,353587.76,2025-09-26 05:38:26,2025-09-26 05:38:26,rug,2025-09-26 00:36:52,22.195357833655706,1.1818181818181819,1.1819478185855428,23445,23445
V5cCiSixPLAiEDX2zZquT5VuLm4prr5t35PWmjNpump,2025-09-25 23:18:21,8,1,2025-09-25 23:18:21,2025-09-26 07:38:59,0.001903,1903709.0,251009.82,0.001768,1768099.0,241954.3,675029.99,0.00205,2050523.0,698990.21,2025-09-26 03:37:32,2025-09-26 03:37:32,,,,1.0772464529689965,1.0771199799969429,15551,15551
7EFshnG4J6UemhyYPJgE4mJwtHY2S3PkUkK9k4kypump,2025-09-25 23:29:04,10,1,2025-09-25 23:29:04,2025-09-26 07:39:00,2.884e-05,28844.13,0.0,5.546e-06,5546.82,0.0,84565.15,2.884e-05,28844.13,84565.15,2025-09-25 23:29:04,2025-09-25 23:29:04,rug,2025-09-26 00:36:54,80.90846047156727,1.0,1.0,0,0
J2eaKn35rp82T6RFEsNK9CLRHEKV9BLXjedFM3q6pump,2025-09-25 23:34:25,8,1,2025-09-25 23:34:25,2025-09-26 07:39:00,0.0008602,860165.0,140817.88,0.0007506,750645.0,132012.37,236887.01,0.0008602,860165.0,248782.39,2025-09-25 23:34:25,2025-09-25 23:34:25,,,,1.0,1.0,0,0
GWaD6wcxSZFwXApoY56x6Cxiqs5sAvtQNdcUvz7Zbonk,2025-09-25 23:35:30,10,1,2025-09-25 23:35:30,2025-09-26 07:39:00,0.006041,60415.66,0.0,0.01257,125749.0,37665.07,832279.79,0.03351,335136.0,832279.79,2025-09-26 03:37:33,2025-09-26 03:37:33,,,,5.547094851845721,5.547171048036221,14523,14523
2LsescRjhcxoUwEQLpcsd3Gh6AHUyqEHANDakkoSpump,2025-09-25 23:37:38,8,1,2025-09-25 23:37:38,2025-09-26 06:38:38,0.0005245,524522.0,142807.26,0.0005234,523352.0,144012.01,863357.48,0.0005896,589556.0,863357.48,2025-09-26 04:38:00,2025-09-26 04:38:00,,,,1.1241182078169685,1.1239871730833024,18022,18022
AigqqAyxV1quPYjskhpoYEK3szVRDKcHmiaFj3rXpump,2025-09-25 23:42:54,8,1,2025-09-25 23:42:54,2025-09-26 06:38:39,0.0002471,247174.0,59709.73,0.0002716,271662.0,63183.86,159346.43,0.0002716,271662.0,159346.43,2025-09-26 06:38:39,2025-09-26 06:38:39,,,,1.0991501416430596,1.0990719088577277,24945,24945
DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,2025-09-26 00:00:41,8,1,2025-09-26 00:00:41,2025-09-26 06:38:39,0.002414,1876789.0,244103.25,0.001649,1281718.0,205115.71,6118189.27,0.002414,1876789.0,6118189.27,2025-09-26 00:00:41,2025-09-26 00:00:41,,,,1.0,1.0,0,0
4BMWRdtqMYs88mdEqcBVUja8vd22AYiguBoFLpGmbonk,2025-09-26 00:09:04,8,1,2025-09-26 00:09:04,2025-09-26 06:38:40,0.0001049,104966.0,34914.51,0.0003201,320102.0,61111.43,618678.53,0.0003201,320102.0,618678.53,2025-09-26 06:38:40,2025-09-26 06:38:40,,,,3.0514775977121062,3.0495779585770633,23376,23376
rWbmAbJUPJUMB3EzcQTLt923mMj6X6u7afeJc23bonk,2025-09-26 00:13:18,10,1,2025-09-26 00:13:18,2025-09-26 06:38:40,6.041e-05,60415.66,0.0,6.413e-06,6414.0,8499.25,515486.76,6.906e-05,69061.0,515486.76,2025-09-26 01:37:06,2025-09-26 01:37:06,rug,2025-09-26 06:38:40,90.71387199536635,1.1431882138718756,1.143097667061818,5028,5028
