contract_address,pair_address,token_name,current_price_usd,estimated_low_24h,gain_multiple,gain_percent,price_change_m5,price_change_h1,price_change_h6,price_change_h24,pump_timing,pump_strength,volume_h24,volume_h6,volume_h1,volume_m5,volume_concentration_h6_pct,volume_concentration_h1_pct,volume_concentration_m5_pct,buys_h24,sells_h24,buys_h6,sells_h6,buys_h1,sells_h1,buy_sell_ratio_h24,buy_sell_ratio_h6,buy_sell_ratio_h1,buy_sell_ratio_m5,liquidity_usd,liq_to_volume_ratio,avg_trade_size_h24,avg_trade_size_h1,pair_age_hours,outcome_label,base_symbol,quote_symbol
Av61p6byuiue7G5Cw7XNYoheeQSswyBg7UbD4aV8pump,29gmfqzl3d4srwqringqw2klxcsf6zbeos3q6kfyrt18,Just a moment...,2.432e-05,2.432e-05,1.0,0.0,0.73,0.75,99.92,-67.68,last_6hours,99.92,659836.39,63127.6,4745.46,51.51,9.57,0.72,0.01,5393,4059,513,324,79,36,1.329,1.583,2.194,2.0,18211.02,0.0276,69.81,41.26,17.92,0,HIMA,SOL
H11RzeeZjfSm2bqEQpwDzaHY18qGeiyFx3mqavF3pump,2dogrrksi5eqyjbclmgajgapxqmqxdptrcdlatzen1it,Just a moment...,0.0009338,0.0007351598173515982,1.2702,27.02,0.0,-0.58,10.86,27.02,last_24hours,27.02,123718.22,10348.94,403.87,0.0,8.36,0.33,0.0,2332,1513,37,31,2,3,1.541,1.194,0.667,0,115492.13,0.9335,32.18,80.77,420.41,0,Grokipedia,SOL
2coZYMUXuRLP7yoQr8hvUJNymMYuTr2dYiGerZR7pump,2shpgkf5mghpevkvqjwxhnzqyfdpgfwm9hzmrurpnd9f,Just a moment...,0.0002664,7.504225352112677e-05,3.55,255.0,-5.56,-36.24,-54.46,255.0,last_24hours,255.0,2031492.47,1210896.54,156540.73,5944.31,59.61,7.71,0.29,12253,8687,7304,5102,1168,793,1.41,1.432,1.473,1.255,61885.93,0.0305,97.01,79.83,11.15,1,GORMED,SOL
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,2uf4xh61rdwxng9woyxsvqp7zua6klfpb3nvnrqeoisd,Just a moment...,0.003584,0.0033971563981042654,1.055,5.5,0.12,0.45,0.1,5.5,unknown,0,4061847.12,672584.07,206587.67,3805.82,16.56,5.09,0.09,3384,3060,622,577,171,198,1.106,1.078,0.864,0,17792815.93,4.3805,630.33,559.86,2298.33,0,PUMP,USDC
5JkXrk1UV9xox6giRrFyELB9HnBv49QQXYUT5eHMpump,2zkehkzlu4gjybq1upresdmyvvqsiqzqr6e35jkcurfj,Just a moment...,0.0004266,0.00026901248581157777,1.5858,58.58,-0.87,-5.45,2.3,58.58,last_24hours,58.58,156924.76,22458.67,5428.89,65.17,14.31,3.46,0.04,1927,1347,119,105,21,25,1.431,1.133,0.84,0.0,88045.62,0.5611,47.93,118.02,347.79,0,QUIT,SOL
7KK1qVc4L5qGfKHapfTtnoyhLqES7PKKirD9QmQLpump,384jaovaa3qvwdu9e9axjdyh5v1zlfpgjqcwzxewlnq7,Just a moment...,0.0001324,0.0001324,1.0,0.0,0.7,-32.55,-27.35,-69.51,unknown,0,538813.0,39949.15,12558.44,1011.69,7.41,2.33,0.19,3446,3032,258,284,95,75,1.137,0.908,1.267,1.167,44014.97,0.0817,83.18,73.87,36.86,0,POLYTREND,SOL
CMx7yon2cLzHcXqgHsKJhuU3MmME6noWLQk2rAycBAGS,3bfzlnxhvayjnrap6sxft7z8nfe5ybkl6jmtucrnr8zz,Just a moment...,0.004378,0.0030141135972461272,1.4525,45.25,0.0,0.79,-2.18,45.25,last_24hours,45.25,205076.82,43202.07,790.45,0.0,21.07,0.39,0.0,285,270,44,64,4,1,1.056,0.688,4.0,0,220456.33,1.075,369.51,158.09,1741.47,0,NYAN,SOL
CizLY8YaSc1MXpEwf9tD89S4A1RgMCR67gXoX5pLpump,3doqspjcbunp8qgzaj5egqbueazwrkqva92nlzddxw1f,Just a moment...,0.0001772,0.0001772,1.0,0.0,-1.14,5.89,-27.62,-1.27,unknown,0,461691.25,47022.64,3918.65,8.45,10.18,0.85,0.0,2326,1706,233,250,22,64,1.363,0.932,0.344,1.0,52129.61,0.1129,114.51,45.57,39.56,0,Arena,SOL
WXsX5HSoVquYRGuJXJrCSogT1M6nZiPRrfZhQsPcXAU,3jemohvgn7qvonudvrr1wrtnppowj6gr5ednn3z3jwna,Just a moment...,0.001054,0.001054,1.0,0.0,1.2,-3.98,45.65,-28.32,last_6hours,45.65,611125.43,161071.41,9209.25,532.38,26.36,1.51,0.09,1232,736,428,153,36,19,1.674,2.797,1.895,2.5,171352.13,0.2804,310.53,167.44,76.55,0,ALCH,SOL
7zam4RrZvRdVSPqJkuJuDd6H4dEc53Vb2zXYDiuMpump,3lorq9nhkmsi5twrzckgjdmlpuaxnmqhyv5znbyrdpbh,Just a moment...,2.305e-05,2.305e-05,1.0,0.0,3.02,8.63,3.2,-69.25,unknown,0,1291500.4,32498.79,1112.83,113.96,2.52,0.09,0.01,9790,8354,276,229,16,8,1.172,1.205,2.0,0,18251.73,0.0141,71.18,46.37,21.19,0,SolSorry,SOL
